profile_id,profile_name,scenario_count,unchanged_count,stability_rate,is_fully_stable
1,久坐办公型,12,12,1,1
2,夜班熬夜型,12,12,1,1
3,高压应酬型,12,12,1,1
4,时间受限型,12,8,0.666666666666667,0
5,饮食失衡型,12,12,1,1
