model,K,param1_name,param1_value,param2_name,param2_value,rmse,mape,r2,loo_rmse,loo_mape,rolling_rmse,rolling_mape
Logistic,100,r,0.0523099430553344,t0,2018.41112615664,0.783408376078064,1.21493387760786,0.996625891819672,1.34058352427043,2.05942811122316,1.93165685533972,3.5910792465995
Gompertz,100,a,1.65182578238635,b,0.0330067850940269,1.09714442743896,2.61268527115588,0.993382252620981,1.99669031047962,5.0308327724647,2.2480935324221,2.90257875460694
