scenario,year,population_18plus_persons,primary_rate_percent,baseline_burden_persons,scenario_burden_persons,avoidable_burden_persons,policy_avoidable_p05,policy_avoidable_p50,policy_avoidable_p95,joint_avoidable_p05,joint_avoidable_p50,joint_avoidable_p95,achieved_reduction_fraction
low,2030,1173939515,64.7076528512985,759628706.050417,755830562.520165,3798143.5302521,2364902.34368598,3721779.90167004,5523195.18945408,2290056.67273176,3603636.11772305,5350656.78975052,0.005
medium,2030,1173939515,64.7076528512985,759628706.050417,736839844.868904,22788861.1815125,16296261.8912237,22552555.019698,30230694.2137403,15753632.8712152,21841530.4492805,29312681.9324875,0.03
high,2030,1173939515,64.7076528512985,759628706.050417,691262122.505879,68366583.5445375,54893830.2033122,68052795.6795173,83228542.9753476,52995355.1152005,65889395.5395123,80822096.6836733,0.09
low,2050,1110232041,83.9216798604218,931725379.155847,927066752.260068,4658626.89577925,2900679.65479326,4564962.80669516,6774495.34365582,2671412.08756143,4222417.89051312,6314706.32239443,0.005
medium,2050,1110232041,83.9216798604218,931725379.155847,903773617.781172,27951761.3746754,19988239.8709873,27661919.1840633,37079569.0106165,18353507.7239413,25583894.2867429,34648666.8634048,0.03
high,2050,1110232041,83.9216798604218,931725379.155847,847870095.031821,83855284.1240262,67330229.0344239,83470406.4657943,102084275.044692,61578753.8457518,77249735.2639292,95674012.4938098,0.09
